cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,transaction_id
567432,31-01-2014,12.0,7,2,1999.0,419.79,4417.79,TeleShop,29456321870
234109,30-01-2014,1.0,1,5,399.0,83.79,2078.79,MBR,78652109435
870543,30-01-2014,5.0,3,4,799.0,167.79,3363.79,e-Shop,67045982135
543210,30-01-2014,6.0,5,1,1299.0,,1299.0,Flagship store,10238567493
908765,29-01-2014,11.0,6,3,249.0,52.29,799.29,TeleShop,50369821470
678901,29-01-2014,3.0,2,2,1499.0,314.79,3312.79,MobileSales,49637582104
345678,29-01-2014,9.0,5,4,499.0,104.79,2100.79,e-Shop,26385741950
680246,06-02-2014,1.0,1,5,399.0,83.79,2078.79,MBR,45679812375
012345,28-01-2014,2.0,1,1,299.0,62.79,361.79,TeleShop,58329761480
789456,28-01-2014,7.0,3,5,649.0,136.29,3381.29,Flagship store,68953042176
123789,28-01-2014,,6,2,199.0,41.79,439.79,e-Shop,70216493785
456123,27-01-2014,4.0,2,3,899.0,188.79,2885.79,MobileSales,16780395246
789456,27-01-2014,8.0,4,4,349.0,73.29,1469.29,MBR,30276498531
159357,27-01-2014,1.0,1,1,399.0,83.79,482.79,TeleShop,82647193508
